2026-09-12T21:29:05.685+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'carBrandAudiMapper' and 'cn.jia.isp.mapper.CarBrandAudiMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.686+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'carBrandMapper' and 'cn.jia.isp.mapper.CarBrandMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.696+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'carBrandMfMapper' and 'cn.jia.isp.mapper.CarBrandMfMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.697+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'carBrandVersionMapper' and 'cn.jia.isp.mapper.CarBrandVersionMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.698+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'cmsColumnMapper' and 'cn.jia.isp.mapper.CmsColumnMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.699+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'cmsConfigMapper' and 'cn.jia.isp.mapper.CmsConfigMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.704+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'cmsRowMapper' and 'cn.jia.isp.mapper.CmsRowMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.708+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'cmsTableMapper' and 'cn.jia.isp.mapper.CmsTableMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.709+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'ispDnsRecordHistoryMapper' and 'cn.jia.isp.mapper.IspDnsRecordHistoryMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.710+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'ispDnsRecordMapper' and 'cn.jia.isp.mapper.IspDnsRecordMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.716+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'ispDnsZoneMapper' and 'cn.jia.isp.mapper.IspDnsZoneMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.721+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'ispDomainMapper' and 'cn.jia.isp.mapper.IspDomainMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.722+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'ispFileMapper' and 'cn.jia.isp.mapper.IspFileMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.723+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'ispServerMapper' and 'cn.jia.isp.mapper.IspServerMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.724+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'ispSmbVDirMapper' and 'cn.jia.isp.mapper.IspSmbVDirMapper' mapperInterface. Bean already defined with the same name!
